dep;departamento;ciudad;regional_id
12;Cundinamarca;Guayabal de Síquima;9
12;Cundinamarca;Guayabetal;9
28;Tolima;Honda;9
28;Tolima;Ibagué;9
6;Caldas;La Dorada;9
16;Huila;La Plata;9
26;Santander;Lebrija;9
28;Tolima;Lérida;9
28;Tolima;Líbano;9
21;Norte de Santander;Los Patios;9
26;Santander;Los Santos;9
26;Santander;Málaga;9
28;Tolima;Mariquita;9
28;Tolima;Moniquirá;9
8;Tolima;Monterrey;9
8;Tolima;Natagaima;9
16;Huila;La Plata;9
5;Boyacá;Nobsa;9
21;Norte de Santander;Ocaña;9
5;Boyacá;Paipa;9
16;Huila;Palermo;9
16;Huila;Palocabildo;9
21;Norte de Santander;Panplona;9
12;Cundinamarca;Paratebueno;9
26;Santander;Piedecuesta;9
16;Huila;Pitalito;9
26;Santander;Puente Nacional;9
12;Cundinamarca;Quetame;9
5;Boyacá;Puerto Boyacá;9
31;Vichada;Puerto Careño;9
19;Meta;Puerto Gaitán;9
19;Meta;Puerto López;9
19;Meta;Puerto Rico;9
26;Santander;Puerto Wilches;9
19;Meta;Restrepo;9
26;Santander;Rionegro;9
26;Santander;Sabana de Torres;9
16;Huila;San Agustín;9
10;Cesar;San Alberto;9
26;Santander;San Gil;9
15;Santander;San José del Guaviare;9
19;Meta;San Martín;9
7;Caquetá;San Vicente del Caguán;9
5;Boyacá;Santa María;9
5;Boyacá;Santa Rosa de Viterbo;9
5;Boyacá;Santana;9
5;Boyacá;Soatá;9
26;Santander;El Socorro;9
5;Boyacá;Sogamoso;9
7;Caquetá;Solano;9
16;Huila;Tesalia;9
5;Boyacá;Tibasosa;9
16;Huila;Timaná;9
5;Boyacá;Tunja;9
26;Santander;Vélez;9
26;Santander;Villa de Leyva;9
21;Norte de Santander;Villa del Rosario;9
26;Santander;Villanueva;9
12;Cundinamarca;Villapinzón;9
19;Meta;San Villavicencio;9
1;Antioquia;Yondó;9
8;Casanare;Yopal;9
10;Cesar;Agustín Codazzi;6
18;Magdalena;Aracataca;6
4;Bolívar;Arjona;6
3;Atlántico;Baranoa;6
17;La Guajira;Barrancas;6
3;Atlántico;Barranquilla;6
10;Cesar;Becerril;6
10;Cesar;Bosconia;6
3;Atlántico;Campo de la Cruz;6
4;Bolívar;Cartagena de Indias;6
10;Cesar;Chiriguaná;6
18;Magdalena;Ciénaga;6
27;Sucre;Corozal;6
27;Sucre;Coveñas;6
10;Cesar;Curumaní;6
18;Magdalena;El Banco;6
4;Bolívar;Carmen de Bolívar;6
10;Cesar;El Paso;6
17;La Guajira;Fonseca;6
18;Magdalena;Fundación;6
3;Atlántico;Galapa;6
10;Cesar;La Jagua de Ibirico;6
10;Cesar;La Loma;6
4;Bolívar;Magangué;6
4;Bolívar;Mahates;6
17;La Guajira;Maicao;6
3;Atlántico;Mingueo;6
4;Bolívar;Monpós;6
3;Atlántico;Palmar de Varela;6
18;Magdalena;Pivijay;6
18;Magdalena;Plato;6
20;Nariño;Providencia;6
10;Cesar;Pueblo Bello;6
3;Atlántico;Puerto Colombia;6
17;La Guajira;Riohacha;6
3;Atlántico;Sabanagrande;6
3;Atlántico;Sabanalarga;6
27;Sucre;Sampués;6
25;San Andrés y Providencia;San Andrés;6
17;La Guajira;San Juan del Cesar;6
4;Bolívar;San Juan Nepomuceno;6
27;Sucre;San Onofre;6
18;Magdalena;Santa Marta;6
27;Sucre;Santiago de Tolú;6
3;Atlántico;Santo Tomás;6
27;Sucre;Sincelejo;6
3;Atlántico;Soledad;6
3;Atlántico;Suán;6
4;Bolívar;Turbaco;6
10;Cesar;Valledupar;6
29;Valle del Cauca;Andalucía;4
29;Valle del Cauca;Buenaventura;4
29;Valle del Cauca;Bugalagrande;4
29;Valle del Cauca;Caicedonia;4
29;Valle del Cauca;Cali;4
29;Valle del Cauca;Dagua;4
11;Chocó;El Carmen del Darién;4
29;Valle del Cauca;El Cairo;4
29;Valle del Cauca;El Cerrito;4
29;Valle del Cauca;Ortigal;4
29;Valle del Cauca;Florida;4
29;Valle del Cauca;Ginebra;4
29;Valle del Cauca;Buga;4
20;Nariño;Ipiales;4
29;Valle del Cauca;Jamundí;4
29;Valle del Cauca;La Unión;4
29;Valle del Cauca;La Victoria;4
9;Cauca;Miranda;4
29;Valle del Cauca;Palmira;4
20;Nariño;Pasto;4
9;Cauca;Piendamó;4
9;Cauca;Popayán;4
29;Valle del Cauca;Pradera;4
9;Cauca;Puerto Tejada;4
29;Valle del Cauca;Rozó;4
9;Cauca;Santander de Quilichao;4
29;Valle del Cauca;Sevilla;4
1;Antioquia;Sonsó;4
29;Valle del Cauca;Tuluá;4
20;Nariño;Tumaco;4
20;Nariño;Túquerres;4
20;Nariño;Villa Gorgona;4
9;Cauca;Villa Rica;4
29;Valle del Cauca;Yotoco;4
29;Valle del Cauca;Yumbo;4
29;Valle del Cauca;Zarzal;4
29;Valle del Cauca;Zarzal;4